"height","voice.part"
64,"Soprano"
62,"Soprano"
66,"Soprano"
65,"Soprano"
60,"Soprano"
61,"Soprano"
65,"Soprano"
66,"Soprano"
65,"Soprano"
63,"Soprano"
67,"Soprano"
65,"Soprano"
62,"Soprano"
65,"Soprano"
68,"Soprano"
65,"Soprano"
63,"Soprano"
65,"Soprano"
62,"Soprano"
65,"Soprano"
66,"Soprano"
62,"Soprano"
65,"Soprano"
63,"Soprano"
65,"Soprano"
66,"Soprano"
65,"Soprano"
62,"Soprano"
65,"Soprano"
66,"Soprano"
65,"Soprano"
61,"Soprano"
65,"Soprano"
66,"Soprano"
65,"Soprano"
62,"Soprano"
63,"Soprano"
67,"Soprano"
60,"Soprano"
67,"Soprano"
66,"Soprano"
62,"Soprano"
65,"Soprano"
62,"Soprano"
61,"Soprano"
62,"Soprano"
66,"Soprano"
60,"Soprano"
65,"Soprano"
65,"Soprano"
61,"Soprano"
64,"Soprano"
68,"Soprano"
64,"Soprano"
63,"Soprano"
62,"Soprano"
64,"Soprano"
62,"Soprano"
64,"Soprano"
65,"Soprano"
60,"Soprano"
65,"Soprano"
70,"Soprano"
63,"Soprano"
67,"Soprano"
66,"Soprano"
65,"Alto"
62,"Alto"
68,"Alto"
67,"Alto"
67,"Alto"
63,"Alto"
67,"Alto"
66,"Alto"
63,"Alto"
72,"Alto"
62,"Alto"
61,"Alto"
66,"Alto"
64,"Alto"
60,"Alto"
61,"Alto"
66,"Alto"
66,"Alto"
66,"Alto"
62,"Alto"
70,"Alto"
65,"Alto"
64,"Alto"
63,"Alto"
65,"Alto"
69,"Alto"
61,"Alto"
66,"Alto"
65,"Alto"
61,"Alto"
63,"Alto"
64,"Alto"
67,"Alto"
66,"Alto"
68,"Alto"
70,"Alto"
65,"Alto"
65,"Alto"
65,"Alto"
64,"Alto"
66,"Alto"
64,"Alto"
70,"Alto"
63,"Alto"
70,"Alto"
64,"Alto"
63,"Alto"
67,"Alto"
65,"Alto"
63,"Alto"
66,"Alto"
66,"Alto"
64,"Alto"
64,"Alto"
70,"Alto"
70,"Alto"
66,"Alto"
66,"Alto"
66,"Alto"
69,"Alto"
67,"Alto"
65,"Alto"
69,"Tenor"
72,"Tenor"
71,"Tenor"
66,"Tenor"
76,"Tenor"
74,"Tenor"
71,"Tenor"
66,"Tenor"
68,"Tenor"
67,"Tenor"
70,"Tenor"
65,"Tenor"
72,"Tenor"
70,"Tenor"
68,"Tenor"
64,"Tenor"
73,"Tenor"
66,"Tenor"
68,"Tenor"
67,"Tenor"
64,"Tenor"
68,"Tenor"
73,"Tenor"
69,"Tenor"
71,"Tenor"
69,"Tenor"
76,"Tenor"
71,"Tenor"
69,"Tenor"
71,"Tenor"
66,"Tenor"
69,"Tenor"
71,"Tenor"
71,"Tenor"
71,"Tenor"
69,"Tenor"
70,"Tenor"
69,"Tenor"
68,"Tenor"
70,"Tenor"
68,"Tenor"
69,"Tenor"
72,"Bass"
70,"Bass"
72,"Bass"
69,"Bass"
73,"Bass"
71,"Bass"
72,"Bass"
68,"Bass"
68,"Bass"
71,"Bass"
66,"Bass"
68,"Bass"
71,"Bass"
73,"Bass"
73,"Bass"
70,"Bass"
68,"Bass"
70,"Bass"
75,"Bass"
68,"Bass"
71,"Bass"
70,"Bass"
74,"Bass"
70,"Bass"
75,"Bass"
75,"Bass"
69,"Bass"
72,"Bass"
71,"Bass"
70,"Bass"
71,"Bass"
68,"Bass"
70,"Bass"
75,"Bass"
72,"Bass"
66,"Bass"
72,"Bass"
70,"Bass"
69,"Bass"
72,"Bass"
75,"Bass"
67,"Bass"
75,"Bass"
74,"Bass"
72,"Bass"
72,"Bass"
74,"Bass"
72,"Bass"
72,"Bass"
74,"Bass"
70,"Bass"
66,"Bass"
68,"Bass"
75,"Bass"
68,"Bass"
70,"Bass"
72,"Bass"
67,"Bass"
70,"Bass"
70,"Bass"
69,"Bass"
72,"Bass"
71,"Bass"
74,"Bass"
75,"Bass"
